feature,importance
num__bmi,0.14547762130341454
num__spice_sweet_ratio,0.09427240869923169
num__food_budget_per_meal,0.08736571572549044
num__sweet_tooth_level,0.07735144848144809
num__spice_tolerance,0.07209592095388531
num__spice_sweet_interaction,0.0685562738606698
num__preference_intensity,0.06831381465525864
num__age,0.060049765293739225
num__eating_out_per_week,0.05844113267064434
cat__budget_category_Low,0.02961208878876925
cat__eating_frequency_category_Rare,0.028858619719134598
cat__cuisine_top1_Indian,0.023058960869054613
cat__cuisine_top1_Bengali,0.02201080455512962
cat__bmi_category_Overweight,0.020480303735226725
cat__bmi_category_Normal,0.020464094399962888
cat__bmi_category_Underweight,0.017274150563453453
cat__eating_frequency_category_Occasional,0.016629872049163982
cat__cuisine_top1_Italian,0.01609028330849942
cat__budget_category_Premium,0.015155394967643203
cat__budget_category_Medium,0.012682437309426082
cat__cuisine_top1_Mediterranean,0.01169793360722158
num__cuisine_diversity,0.010155041910552474
cat__budget_category_High,0.009131143557031741
cat__cuisine_top1_Mughlai,0.00662307197310167
cat__eating_frequency_category_Daily,0.003025737570744333
cat__eating_frequency_category_Frequent,0.0028126441644307208
cat__bmi_category_Obese,0.001006375188541052
cat__cuisine_top1_Street Food,0.0005265688432192791
cat__cuisine_top1_South Indian,0.000380857371905389
cat__cuisine_top1_Chinese,0.000292321093780695
cat__cuisine_top1_Mexican,0.00010719281022516504
num__num_cuisines_recorded,0.0
